# Run complete. Total time: 01:20:33

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                            (size)    (type)  Mode  Cnt   Score    Error  Units
ArraysSort.Long.testSort             100000  REPEATED  avgt    4   0.488 ±  0.007  ms/op
ArraysSort.Long.testSort             100000   STAGGER  avgt    4   0.551 ±  0.006  ms/op
ArraysSort.Long.testSort             100000   SHUFFLE  avgt    4   2.689 ±  0.160  ms/op
ArraysSort.Long.testSort            1000000    RANDOM  avgt    4  87.203 ±  0.891  ms/op
ArraysSort.Long.testSort            1000000  REPEATED  avgt    4   3.627 ±  0.005  ms/op
ArraysSort.Long.testSort            1000000   STAGGER  avgt    4   5.909 ±  0.353  ms/op
ArraysSort.Long.testSort            1000000   SHUFFLE  avgt    4  28.146 ±  2.884  ms/op
ArraysSort.Short.testParallelSort       100    RANDOM  avgt    4   0.003 ±  0.001  ms/op
ArraysSort.Short.testParallelSort       100  REPEATED  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Short.testParallelSort       100   STAGGER  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Short.testParallelSort       100   SHUFFLE  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Short.testParallelSort      1000    RANDOM  avgt    4   0.045 ±  0.001  ms/op
ArraysSort.Short.testParallelSort      1000  REPEATED  avgt    4   0.004 ±  0.001  ms/op
ArraysSort.Short.testParallelSort      1000   STAGGER  avgt    4   0.014 ±  0.001  ms/op
ArraysSort.Short.testParallelSort      1000   SHUFFLE  avgt    4   0.023 ±  0.001  ms/op
ArraysSort.Short.testParallelSort     10000    RANDOM  avgt    4   0.176 ±  0.001  ms/op
ArraysSort.Short.testParallelSort     10000  REPEATED  avgt    4   0.044 ±  0.004  ms/op
ArraysSort.Short.testParallelSort     10000   STAGGER  avgt    4   0.056 ±  0.001  ms/op
